AtlasCxxPolicy                                                                       AtlasCxxPolicy-00-00-69                                 
AtlasFortranPolicy                                                                   AtlasFortranPolicy-00-00-79                             
AtlasGeometryCommon/Interpreters                                                     Interpreters-00-00-14                                   
AtlasPolicy                                                                          AtlasPolicy-01-08-16                                    
AtlasSystemSettings                                                                  AtlasSystemSettings-00-00-02                            
AtlasTest/ControlTest                                                                ControlTest-00-02-28                                    
AtlasTest/CppUnitExample                                                             CppUnitExample-00-00-05                                 
AtlasTest/CppUnitSGServiceExample                                                    CppUnitSGServiceExample-00-00-04                        
AtlasTest/NightlyTestTools/ATNight                                                   ATNight-00-01-02                                        
AtlasTest/NightlyTestTools/Nicos                                                     Nicos-10-01-00                                          
AtlasTest/TestTools                                                                  TestTools-00-07-08                                      
Control/AthAllocators                                                                AthAllocators-00-01-03                                  
Control/AthContainers                                                                AthContainers-00-02-15                                  
Control/AthContainersInterfaces                                                      AthContainersInterfaces-00-01-27                        
Control/AthLinks                                                                     AthLinks-00-02-15                                       
Control/AthToolSupport/AsgExampleTools                                               AsgExampleTools-00-00-06                                
Control/AthToolSupport/AsgTools                                                      AsgTools-00-00-29                                       
Control/AthenaAuditors                                                               AthenaAuditors-00-00-04                                 
Control/AthenaBaseComps                                                              AthenaBaseComps-00-06-12                                
Control/AthenaCommon                                                                 AthenaCommon-03-00-00-00                                
Control/AthenaExamples/AthExFortranAlgorithm                                         AthExFortranAlgorithm-00-02-01                          
Control/AthenaExamples/AthExHelloWorld                                               AthExHelloWorld-01-02-06                                
Control/AthenaExamples/AthExHistNtup                                                 AthExHistNtup-00-02-03                                  
Control/AthenaExamples/AthExJobOptions                                               AthExJobOptions-00-04-01                                
Control/AthenaExamples/AthExRunExamples                                              AthExRunExamples-00-00-05                               
Control/AthenaExamples/AthExRunHelloWorld                                            AthExRunHelloWorld-00-00-01                             
Control/AthenaExamples/AthExStoreGateExample                                         AthExStoreGateExample-00-07-08                          
Control/AthenaExamples/AthExThinning                                                 AthExThinning-00-12-05                                  
Control/AthenaExamples/TBBExamples                                                   TBBExamples-00-00-02                                    
Control/AthenaExamples/ToyConversion                                                 ToyConversion-00-01-10                                  
Control/AthenaInterprocess                                                           AthenaInterprocess-00-02-03                             
Control/AthenaKernel                                                                 AthenaKernel-00-56-15                                   
