DataQuality/dqm_algorithms                                                           dqm_algorithms-00-07-04-01                              
External/DQM_Core                                                                    DQM_Core-00-00-05                                       
HLT/Trigger/TrigTransforms/TrigTransform                                             TrigTransform-00-00-07                                  
InnerDetector/InDetCalibAlgs/InDetCalibStream                                        InDetCalibStream-00-01-19                               
InnerDetector/InDetExample/InDetTrigRecExample                                       InDetTrigRecExample-00-11-24                            
InnerDetector/InDetTrigRecAlgs/InDetTrigAmbiguitySolver                              InDetTrigAmbiguitySolver-00-04-24                       
InnerDetector/InDetTrigRecAlgs/InDetTrigConversionFinder                             InDetTrigConversionFinder-00-00-11                      
InnerDetector/InDetTrigRecAlgs/InDetTrigExtensProcessor                              InDetTrigExtensProcessor-00-05-21                       
InnerDetector/InDetTrigRecAlgs/InDetTrigParticleCreation                             InDetTrigParticleCreation-00-04-61                      
InnerDetector/InDetTrigRecAlgs/InDetTrigPrepRawDataFormat                            InDetTrigPrepRawDataFormat-00-05-51                     
InnerDetector/InDetTrigRecAlgs/InDetTrigPriVxFinder                                  InDetTrigPriVxFinder-00-04-30                           
InnerDetector/InDetTrigRecAlgs/InDetTrigRawDataProvider                              InDetTrigRawDataProvider-00-00-27                       
InnerDetector/InDetTrigRecAlgs/InDetTrigTrackCollectionMerger                        InDetTrigTrackCollectionMerger-00-01-03                 
InnerDetector/InDetTrigRecAlgs/InDetTrigTrackPRD_Association                         InDetTrigTrackPRD_Association-00-00-09                  
InnerDetector/InDetTrigRecAlgs/InDetTrigTrackResidualMonitor                         InDetTrigTrackResidualMonitor-00-00-07                  
InnerDetector/InDetTrigRecAlgs/InDetTrigTrackSlimmer                                 InDetTrigTrackSlimmer-00-00-10                          
InnerDetector/InDetTrigRecAlgs/InDetTrigTruthAlgs                                    InDetTrigTruthAlgs-00-04-18                             
InnerDetector/InDetTrigRecAlgs/InDetTrigVxSecondary                                  InDetTrigVxSecondary-00-00-49                           
InnerDetector/InDetTrigRecAlgs/SiTrigSPSeededTrackFinder                             SiTrigSPSeededTrackFinder-00-04-47                      
InnerDetector/InDetTrigRecAlgs/SiTrigSpacePointFormation                             SiTrigSpacePointFormation-00-07-11                      
InnerDetector/InDetTrigRecAlgs/TRT_TrigSeededTrackFinder                             TRT_TrigSeededTrackFinder-00-01-31                      
