AtlasCommonPolicy                                                                    AtlasCommonPolicy-00-00-45                              
Database/CoraCool                                                                    CoraCool-00-05-00                                       
Database/CoralDB                                                                     CoralDB-00-00-20                                        
DetCommonPolicy                                                                      DetCommonPolicy-00-00-27                                
External/AtlasCompilers                                                              AtlasCompilers-00-00-20                                 
InnerDetector/InDetConditions/InDetCoolCoralClientUtils                              InDetCoolCoralClientUtils-00-01-06                      
LCG_Configuration                                                                    LCG_Configuration-00-67-02-01                           
LCG_Interfaces/CLHEP                                                                 CLHEP-00-63-00-02                                       
LCG_Interfaces/COOL                                                                  COOL-00-67-02                                           
LCG_Platforms                                                                        LCG_Platforms-00-67-02-01                               
PackDist                                                                             PackDist-00-13-04                                       
DetCommonRelease                                                                     DetCommonRelease--00-01-75                     
Tools/AtlasDoxygen                                                                   AtlasDoxygen-00-04-05                                   
Trigger/TrigConfiguration/AutoPrescaleTool                                           AutoPrescaleTool-00-00-14                               
Trigger/TrigConfiguration/TrigConfBase                                               TrigConfBase-00-00-17                                   
Trigger/TrigConfiguration/TrigConfHLTData                                            TrigConfHLTData-01-00-25                                
Trigger/TrigConfiguration/TrigConfJobOptData                                         TrigConfJobOptData-01-00-01                             
Trigger/TrigConfiguration/TrigConfL1Data                                             TrigConfL1Data-02-00-31                                 
Trigger/TrigConfiguration/TrigConfMuctpi                                             TrigConfMuctpi-00-00-07                                 
Trigger/TrigConfiguration/TrigConfStorage                                            TrigConfStorage-03-00-56                                
Trigger/TrigConfiguration/TrigDb                                                     TrigDb-00-01-24-01                                      
Trigger/TrigConfiguration/TrigDbHltUpload                                            TrigDbHltUpload-00-00-96                                
Trigger/TrigConfiguration/TriggerMenuCompiler                                        TriggerMenuCompiler-04-85-01                            
Trigger/TrigConfiguration/TriggerTool                                                TriggerTool-02-02-85-14                                 
Trigger/TrigMonitoring/TrigStatsFromCool                                             TrigStatsFromCool-00-00-02-01                           
Trigger/TrigT1/L1Common                                                              L1Common-00-00-05                                       
Trigger/TrigT1/L1CommonCore                                                          L1CommonCore-00-00-05                                   
Trigger/TrigT1/L1Topo/L1TopoAlgorithms                                               L1TopoAlgorithms-00-00-14                               
Trigger/TrigT1/L1Topo/L1TopoCommon                                                   L1TopoCommon-00-00-07                                   
Trigger/TrigT1/L1Topo/L1TopoConfig                                                   L1TopoConfig-00-00-13                                   
Trigger/TrigT1/L1Topo/L1TopoCoreSim                                                  L1TopoCoreSim-00-00-14                                  
Trigger/TrigT1/L1Topo/L1TopoEvent                                                    L1TopoEvent-00-00-10                                    
Trigger/TrigT1/L1Topo/L1TopoHardware                                                 L1TopoHardware-00-00-02                                 
Trigger/TrigT1/L1Topo/L1TopoInterfaces                                               L1TopoInterfaces-00-00-08                               
Trigger/TriggerSimulation/L1TopoCoreSimulation                                       L1TopoCoreSimulation-00-00-02-02                        
