AtlasCxxPolicy	AtlasCxxPolicy-00-00-63
AtlasFortranPolicy	AtlasFortranPolicy-00-00-79
AtlasGeometryCommon/Interpreters	Interpreters-00-00-13
AtlasPolicy	AtlasPolicy-01-07-35
AtlasSystemSettings	AtlasSystemSettings-00-00-02
AtlasTest/ControlTest	ControlTest-00-02-13
AtlasTest/CppUnitExample	CppUnitExample-00-00-04
AtlasTest/CppUnitSGServiceExample	CppUnitSGServiceExample-00-00-03
AtlasTest/NightlyTestTools/ATNight	ATNight-00-01-02
AtlasTest/NightlyTestTools/Nicos	Nicos-10-01-00
AtlasTest/TestTools	TestTools-00-07-01
Control/AthAllocators	AthAllocators-00-01-03
Control/AthContainers	AthContainers-00-01-07-35
Control/AthContainersInterfaces	AthContainersInterfaces-00-01-09-02
Control/AthLinks	AthLinks-00-01-06
Control/AthenaBaseComps	AthenaBaseComps-00-06-06
Control/AthenaCommon	AthenaCommon-02-18-27
Control/AthenaExamples/AthExFortranAlgorithm	AthExFortranAlgorithm-00-02-01
Control/AthenaExamples/AthExHelloWorld	AthExHelloWorld-01-02-06
Control/AthenaExamples/AthExHistNtup	AthExHistNtup-00-02-03
Control/AthenaExamples/AthExJobOptions	AthExJobOptions-00-04-01
Control/AthenaExamples/AthExRunExamples	AthExRunExamples-00-00-04
Control/AthenaExamples/AthExRunHelloWorld	AthExRunHelloWorld-00-00-00
Control/AthenaExamples/AthExStoreGateExample	AthExStoreGateExample-00-07-04
Control/AthenaExamples/AthExThinning	AthExThinning-00-12-05
Control/AthenaExamples/TBBExamples	TBBExamples-00-00-02
Control/AthenaExamples/ToyConversion	ToyConversion-00-01-09
Control/AthenaInterprocess	AthenaInterprocess-00-00-08
Control/AthenaKernel	AthenaKernel-00-54-06
Control/AthenaMP	AthenaMP-01-00-17
Control/AthenaMPTools	AthenaMPTools-00-00-35
Control/AthenaPython	AthenaPython-00-06-28
Control/AthenaSealSvc	AthenaSealSvc-00-02-02
Control/AthenaServices	AthenaServices-01-57-16
Control/CLIDComps	CLIDComps-00-06-10
Control/CLIDSvc	CLIDSvc-00-05-02
Control/CxxUtils	CxxUtils-00-01-02
Control/DataModel	DataModel-00-23-70
Control/DataModelAthenaPool	DataModelAthenaPool-01-06-22
Control/GaudiSequencer	GaudiSequencer-00-03-16
Control/HeapMon	HeapMon-00-01-06
Control/Hephaestus	Hephaestus-00-06-10
Control/IOVSvc	IOVSvc-00-07-28
Control/MinimalRunTime	MinimalRunTime-00-00-24
Control/Navigation	Navigation-00-08-22
Control/PerformanceMonitoring/PerfMonAna	PerfMonAna-00-09-15
Control/PerformanceMonitoring/PerfMonComps	PerfMonComps-00-25-00
Control/PerformanceMonitoring/PerfMonEvent	PerfMonEvent-00-07-13
Control/PerformanceMonitoring/PerfMonGPerfTools	PerfMonGPerfTools-00-00-12
Control/PerformanceMonitoring/PerfMonKernel	PerfMonKernel-00-10-03
Control/PileUpComps	PileUpComps-00-12-01
Control/PileUpTools	PileUpTools-01-15-00
Control/PyKernel	PyKernel-00-00-38
Control/RngComps	RngComps-00-00-05
Control/RootUtils	RootUtils-00-00-65
Control/SGComps	SGComps-00-01-06
Control/SGMon/SGAudCore	SGAudCore-00-01-03
Control/SGMon/SGAudSvc	SGAudSvc-00-00-15
Control/SGTools	SGTools-00-19-12
Control/StoreGate	StoreGate-02-39-12
Control/StoreGateBindings	StoreGateBindings-00-06-03
Control/StoreGateTests	StoreGateTests-00-00-14
Control/Valkyrie	Valkyrie-00-03-00
Database/APR/CollectionBase	CollectionBase-00-01-06
Database/APR/CollectionUtilities	CollectionUtilities-00-02-12
Database/APR/FileCatalog	FileCatalog-00-00-05
Database/APR/ImplicitCollection	ImplicitCollection-00-01-01
Database/APR/POOLCore	POOLCore-00-03-07
