HLT/AtlasHLTPolicy	AtlasHLTPolicy-00-00-00
HLT/Event/ByteStreamEmonSvc	ByteStreamEmonSvc-00-02-04
HLT/HLTExternal/HLTtdaq	HLTtdaq-00-06-07
HLT/HLTExternal/HLTtdaqcommon	HLTtdaqcommon-01-03-02
HLT/HLTTestApps	HLTTestApps-20-02-05
HLT/HLTUtils	HLTUtils-01-02-11
HLT/HLTdal	HLTdal-00-01-02
HLT/HLToks	HLToks-00-01-06
HLT/Services/ISProperty	ISProperty-00-02-07
HLT/Services/JiveXMLServer	JiveXMLServer-00-00-03
HLT/Testing/TrigConfTesting	TrigConfTesting-00-06-33
HLT/Testing/TrigMenuTimeTest	TrigMenuTimeTest-00-00-26
HLT/Trigger/TrigConfiguration/AutoPrescaleEditor	AutoPrescaleEditor-00-01-09
HLT/Trigger/TrigConfiguration/BunchGroupUpdate	BunchGroupUpdate-01-01-00
HLT/Trigger/TrigConfiguration/TrigConf2COOLOnline	TrigConf2COOLOnline-00-01-01
HLT/Trigger/TrigConfiguration/TriggerPanel	TriggerPanel-06-02-05
HLT/Trigger/TrigControl/TrigCommon	TrigCommon-04-01-09
HLT/Trigger/TrigControl/TrigExamples/TrigExL2muCalibTest	TrigExL2muCalibTest-00-01-00
HLT/Trigger/TrigControl/TrigExamples/TrigExMTHelloWorld	TrigExMTHelloWorld-01-07-01
HLT/Trigger/TrigControl/TrigExamples/TrigExMTHelloWorldLvl1	TrigExMTHelloWorldLvl1-01-09-00
HLT/Trigger/TrigControl/TrigExamples/TrigExMTHistNtup	TrigExMTHistNtup-01-03-03
HLT/Trigger/TrigControl/TrigExamples/TrigExPartialEB	TrigExPartialEB-00-04-00
HLT/Trigger/TrigControl/TrigKernel	TrigKernel-20-00-01
HLT/Trigger/TrigControl/TrigPSC	TrigPSC-20-03-05
HLT/Trigger/TrigControl/TrigPython	TrigPython-20-00-01
HLT/Trigger/TrigControl/TrigServices	TrigServices-20-01-03
HLT/Trigger/TrigMonitoring/HLTRates2COOL	HLTRates2COOL-00-01-01
HLT/Trigger/TrigMonitoring/TrigOnlineMonitor	TrigOnlineMonitor-20-00-00
HLT/Trigger/TrigTransforms/TrigTransformOld	TrigTransformOld-00-00-01
HLT/hltpm	hltpm-00-00-36
AtlasHLTRunTime	AtlasHLTRunTime-00-01-22
Trigger/TrigValidation/TrigP1Test	TrigP1Test-00-05-00
