AtlasCommonPolicy	AtlasCommonPolicy-00-00-24
Database/CoraCool	CoraCool-00-04-03
Database/CoralDB	CoralDB-00-00-17
DetCommonPolicy	DetCommonPolicy-00-00-25
External/AtlasCompilers	AtlasCompilers-00-00-18
InnerDetector/InDetConditions/InDetCoolCoralClientUtils	InDetCoolCoralClientUtils-00-01-03
LCG_Configuration	LCG_Configuration-00-65-00-01
LCG_Interfaces/CLHEP	CLHEP-00-63-00-02
LCG_Interfaces/ROOT	ROOT-00-62-01-01
PackDist	PackDist-00-12-00
Tools/AtlasDoxygen	AtlasDoxygen-00-03-03
Trigger/TrigConfiguration/AutoPrescaleTool	AutoPrescaleTool-00-00-12
Trigger/TrigConfiguration/TrigConfBase	TrigConfBase-00-00-03
Trigger/TrigConfiguration/TrigConfHLTData	TrigConfHLTData-01-00-17
Trigger/TrigConfiguration/TrigConfJobOptData	TrigConfJobOptData-01-00-01
Trigger/TrigConfiguration/TrigConfL1Data	TrigConfL1Data-02-00-13
Trigger/TrigConfiguration/TrigConfMuctpi	TrigConfMuctpi-00-00-04
Trigger/TrigConfiguration/TrigConfStorage	TrigConfStorage-03-00-16
Trigger/TrigConfiguration/TrigDb	TrigDb-00-01-24
Trigger/TrigConfiguration/TrigDbHltUpload	TrigDbHltUpload-00-00-84
Trigger/TrigConfiguration/TriggerMenuCompiler	TriggerMenuCompiler-00-00-24
Trigger/TrigConfiguration/TriggerTool	TriggerTool-02-02-85-13
Trigger/TrigMonitoring/TrigStatsFromCool	TrigStatsFromCool-00-00-02
Trigger/TrigT1/L1Topo/L1TopoAlgorithms	L1TopoAlgorithms-00-00-01
Trigger/TrigT1/L1Topo/L1TopoCommon	L1TopoCommon-00-00-01
Trigger/TrigT1/L1Topo/L1TopoConfig	L1TopoConfig-00-00-02
Trigger/TrigT1/L1Topo/L1TopoCoreSim	L1TopoCoreSim-00-00-02
Trigger/TrigT1/L1Topo/L1TopoEvent	L1TopoEvent-00-00-01
Trigger/TrigT1/L1Topo/L1TopoInterfaces	L1TopoInterfaces-00-00-01
Trigger/TriggerSimulation/L1TopoCoreSimulation	L1TopoCoreSimulation-00-00-02
